[2025-06-26 15:49:00,130]17 root-INFO-Initiating data ingestion component
[2025-06-26 15:49:01,780]64 root-INFO-Performed train test split on the dataframe
[2025-06-26 15:49:01,780]66 root-INFO-Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-26 15:49:01,780]74 root-INFO-Exporting train and test file path.
[2025-06-26 15:49:01,818]83 root-INFO-Exported train and test file path.
[2025-06-26 15:49:01,818]19 root-INFO-Data Ingestion completed successfully
[2025-06-26 15:49:01,829]22 root-INFO-Initiating data validation component
[2025-06-26 15:49:01,877]32 root-INFO-Required number of columns:2
[2025-06-26 15:49:01,886]33 root-INFO-Data frame has columns:31
[2025-06-26 15:49:01,886]32 root-INFO-Required number of columns:2
[2025-06-26 15:49:01,886]33 root-INFO-Data frame has columns:31
[2025-06-26 15:49:01,975]24 root-INFO-Data Validation completed successfully
[2025-06-26 15:49:01,977]27 root-INFO-Data Transformation Started
[2025-06-26 15:49:01,977]63 root-INFO-Entered initiate_data_transformation method of DataTransformation class
[2025-06-26 15:49:01,977]65 root-INFO-Starting data transformation
[2025-06-26 15:49:01,992]48 root-INFO-Entered get_data_transformer_object method of Transformation class
[2025-06-26 15:49:01,992]53 root-INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-26 15:49:02,003]46 root-INFO-Entered the save_object method of MainUtils class
[2025-06-26 15:49:02,006]50 root-INFO-Exited the save_object method of MainUtils class
[2025-06-26 15:49:02,006]46 root-INFO-Entered the save_object method of MainUtils class
[2025-06-26 15:49:02,008]50 root-INFO-Exited the save_object method of MainUtils class
[2025-06-26 15:49:02,009]31 root-INFO-Data Transformation Completed
[2025-06-26 15:49:02,009]33 root-INFO-Model Training Started
