[2025-06-26 16:00:56,734]17 root-INFO-Initiating data ingestion component
[2025-06-26 16:00:58,380]64 root-INFO-Performed train test split on the dataframe
[2025-06-26 16:00:58,380]66 root-INFO-Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-26 16:00:58,380]74 root-INFO-Exporting train and test file path.
[2025-06-26 16:00:58,411]83 root-INFO-Exported train and test file path.
[2025-06-26 16:00:58,411]19 root-INFO-Data Ingestion completed successfully
[2025-06-26 16:00:58,411]22 root-INFO-Initiating data validation component
[2025-06-26 16:00:58,475]32 root-INFO-Required number of columns:2
[2025-06-26 16:00:58,498]33 root-INFO-Data frame has columns:31
[2025-06-26 16:00:58,498]32 root-INFO-Required number of columns:2
[2025-06-26 16:00:58,498]33 root-INFO-Data frame has columns:31
[2025-06-26 16:00:58,588]24 root-INFO-Data Validation completed successfully
[2025-06-26 16:00:58,588]27 root-INFO-Data Transformation Started
[2025-06-26 16:00:58,588]63 root-INFO-Entered initiate_data_transformation method of DataTransformation class
[2025-06-26 16:00:58,588]65 root-INFO-Starting data transformation
[2025-06-26 16:00:58,603]48 root-INFO-Entered get_data_transformer_object method of Transformation class
[2025-06-26 16:00:58,603]53 root-INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-26 16:00:58,609]46 root-INFO-Entered the save_object method of MainUtils class
[2025-06-26 16:00:58,609]50 root-INFO-Exited the save_object method of MainUtils class
[2025-06-26 16:00:58,609]46 root-INFO-Entered the save_object method of MainUtils class
[2025-06-26 16:00:58,617]50 root-INFO-Exited the save_object method of MainUtils class
[2025-06-26 16:00:58,617]31 root-INFO-Data Transformation Completed
[2025-06-26 16:00:58,617]33 root-INFO-Model Training Started
[2025-06-26 16:03:02,557]46 root-INFO-Entered the save_object method of MainUtils class
[2025-06-26 16:03:02,558]50 root-INFO-Exited the save_object method of MainUtils class
[2025-06-26 16:03:02,558]104 root-INFO-Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_26_2025_16_00_55\\model_trainer\\trained_model\\model.pkl', trained_metric_artifact=ClassificationMetricArtifact(f1_score=0.9917456435340875, precision_score=0.9906351791530945, recall_score=0.992858600285656), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9726516052318668, precision_score=0.9684293606945541, recall_score=0.9769108280254777))
