[2025-06-26 16:24:02,580]17 root-INFO-Initiating data ingestion component
[2025-06-26 16:24:04,164]64 root-INFO-Performed train test split on the dataframe
[2025-06-26 16:24:04,164]66 root-INFO-Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-26 16:24:04,164]74 root-INFO-Exporting train and test file path.
[2025-06-26 16:24:04,187]83 root-INFO-Exported train and test file path.
[2025-06-26 16:24:04,187]19 root-INFO-Data Ingestion completed successfully
[2025-06-26 16:24:04,203]22 root-INFO-Initiating data validation component
[2025-06-26 16:24:04,279]32 root-INFO-Required number of columns:2
[2025-06-26 16:24:04,290]33 root-INFO-Data frame has columns:31
[2025-06-26 16:24:04,290]32 root-INFO-Required number of columns:2
[2025-06-26 16:24:04,290]33 root-INFO-Data frame has columns:31
[2025-06-26 16:24:04,396]24 root-INFO-Data Validation completed successfully
[2025-06-26 16:24:04,396]27 root-INFO-Data Transformation Started
[2025-06-26 16:24:04,396]63 root-INFO-Entered initiate_data_transformation method of DataTransformation class
[2025-06-26 16:24:04,396]65 root-INFO-Starting data transformation
[2025-06-26 16:24:04,413]48 root-INFO-Entered get_data_transformer_object method of Transformation class
[2025-06-26 16:24:04,413]53 root-INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-26 16:24:04,418]46 root-INFO-Entered the save_object method of MainUtils class
[2025-06-26 16:24:04,425]50 root-INFO-Exited the save_object method of MainUtils class
[2025-06-26 16:24:04,425]46 root-INFO-Entered the save_object method of MainUtils class
[2025-06-26 16:24:04,427]50 root-INFO-Exited the save_object method of MainUtils class
[2025-06-26 16:24:04,427]31 root-INFO-Data Transformation Completed
[2025-06-26 16:24:04,428]33 root-INFO-Model Training Started
[2025-06-26 16:26:18,255]46 root-INFO-Entered the save_object method of MainUtils class
[2025-06-26 16:26:18,256]50 root-INFO-Exited the save_object method of MainUtils class
[2025-06-26 16:26:18,256]118 root-INFO-Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_26_2025_16_24_00\\model_trainer\\trained_model\\model.pkl', trained_metric_artifact=ClassificationMetricArtifact(f1_score=0.9921148402749697, precision_score=0.9907126993741167, recall_score=0.9935209556590403), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9749486652977413, precision_score=0.9753492193919474, recall_score=0.9745484400656814))
