[2025-06-26 12:03:05,790]14 root-INFO-Initiating data ingestion component
[2025-06-26 12:03:07,334]64 root-INFO-Performed train test split on the dataframe
[2025-06-26 12:03:07,334]66 root-INFO-Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-26 12:03:07,334]74 root-INFO-Exporting train and test file path.
[2025-06-26 12:03:07,364]83 root-INFO-Exported train and test file path.
[2025-06-26 12:03:07,364]16 root-INFO-Data Ingestion completed successfully
[2025-06-26 12:03:07,376]19 root-INFO-Initiating data validation component
[2025-06-26 12:03:07,442]32 root-INFO-Required number of columns:2
[2025-06-26 12:03:07,442]33 root-INFO-Data frame has columns:31
[2025-06-26 12:03:07,442]32 root-INFO-Required number of columns:2
[2025-06-26 12:03:07,442]33 root-INFO-Data frame has columns:31
[2025-06-26 12:03:07,539]21 root-INFO-Data Validation completed successfully
