[2025-06-26 15:38:47,461]17 root-INFO-Initiating data ingestion component
[2025-06-26 15:38:49,005]64 root-INFO-Performed train test split on the dataframe
[2025-06-26 15:38:49,005]66 root-INFO-Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-26 15:38:49,005]74 root-INFO-Exporting train and test file path.
[2025-06-26 15:38:49,055]83 root-INFO-Exported train and test file path.
[2025-06-26 15:38:49,057]19 root-INFO-Data Ingestion completed successfully
[2025-06-26 15:38:49,060]22 root-INFO-Initiating data validation component
[2025-06-26 15:38:49,121]32 root-INFO-Required number of columns:2
[2025-06-26 15:38:49,121]33 root-INFO-Data frame has columns:31
[2025-06-26 15:38:49,121]32 root-INFO-Required number of columns:2
[2025-06-26 15:38:49,121]33 root-INFO-Data frame has columns:31
[2025-06-26 15:38:49,210]24 root-INFO-Data Validation completed successfully
[2025-06-26 15:38:49,210]27 root-INFO-Data Transformation Started
[2025-06-26 15:38:49,210]63 root-INFO-Entered initiate_data_transformation method of DataTransformation class
[2025-06-26 15:38:49,210]65 root-INFO-Starting data transformation
[2025-06-26 15:38:49,235]48 root-INFO-Entered get_data_transformer_object method of Transformation class
[2025-06-26 15:38:49,235]53 root-INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-26 15:38:49,243]46 root-INFO-Entered the save_object method of MainUtils class
[2025-06-26 15:38:49,246]50 root-INFO-Exited the save_object method of MainUtils class
[2025-06-26 15:38:49,246]46 root-INFO-Entered the save_object method of MainUtils class
[2025-06-26 15:38:49,249]50 root-INFO-Exited the save_object method of MainUtils class
[2025-06-26 15:38:49,249]31 root-INFO-Data Transformation Completed
[2025-06-26 15:38:49,251]33 root-INFO-Model Training Started
