[2025-06-26 15:49:25,259]17 root-INFO-Initiating data ingestion component
[2025-06-26 15:49:26,880]64 root-INFO-Performed train test split on the dataframe
[2025-06-26 15:49:26,880]66 root-INFO-Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-26 15:49:26,880]74 root-INFO-Exporting train and test file path.
[2025-06-26 15:49:26,928]83 root-INFO-Exported train and test file path.
[2025-06-26 15:49:26,928]19 root-INFO-Data Ingestion completed successfully
[2025-06-26 15:49:26,928]22 root-INFO-Initiating data validation component
[2025-06-26 15:49:26,991]32 root-INFO-Required number of columns:2
[2025-06-26 15:49:26,991]33 root-INFO-Data frame has columns:31
[2025-06-26 15:49:26,991]32 root-INFO-Required number of columns:2
[2025-06-26 15:49:26,991]33 root-INFO-Data frame has columns:31
[2025-06-26 15:49:27,101]24 root-INFO-Data Validation completed successfully
[2025-06-26 15:49:27,101]27 root-INFO-Data Transformation Started
[2025-06-26 15:49:27,101]63 root-INFO-Entered initiate_data_transformation method of DataTransformation class
[2025-06-26 15:49:27,101]65 root-INFO-Starting data transformation
[2025-06-26 15:49:27,120]48 root-INFO-Entered get_data_transformer_object method of Transformation class
[2025-06-26 15:49:27,120]53 root-INFO-Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-26 15:49:27,129]46 root-INFO-Entered the save_object method of MainUtils class
[2025-06-26 15:49:27,131]50 root-INFO-Exited the save_object method of MainUtils class
[2025-06-26 15:49:27,131]46 root-INFO-Entered the save_object method of MainUtils class
[2025-06-26 15:49:27,133]50 root-INFO-Exited the save_object method of MainUtils class
[2025-06-26 15:49:27,134]31 root-INFO-Data Transformation Completed
[2025-06-26 15:49:27,134]33 root-INFO-Model Training Started
[2025-06-26 15:52:10,427]46 root-INFO-Entered the save_object method of MainUtils class
[2025-06-26 15:52:10,427]50 root-INFO-Exited the save_object method of MainUtils class
