[2025-06-26 11:57:21,211]14 root-INFO-Initiating data ingestion component
[2025-06-26 11:57:22,859]64 root-INFO-Performed train test split on the dataframe
[2025-06-26 11:57:22,860]66 root-INFO-Exited split_data_as_train_test method of Data_Ingestion class
[2025-06-26 11:57:22,860]74 root-INFO-Exporting train and test file path.
[2025-06-26 11:57:22,901]83 root-INFO-Exported train and test file path.
[2025-06-26 11:57:22,902]16 root-INFO-Data Ingestion completed successfully
[2025-06-26 11:57:22,906]19 root-INFO-Initiating data validation component
[2025-06-26 11:57:22,975]33 root-INFO-Required number of columns:2
[2025-06-26 11:57:22,975]34 root-INFO-Data frame has columns:31
[2025-06-26 11:57:22,975]33 root-INFO-Required number of columns:2
[2025-06-26 11:57:22,975]34 root-INFO-Data frame has columns:31
